wavelength_nm,intensity,y_error
192.75,716.80,15.57
193.03,716.80,14.12
193.30,716.80,15.93
193.58,738.85,15.45
193.86,750.50,12.91
194.13,749.00,16.78
194.41,748.50,15.83
194.69,749.55,15.95
194.96,749.65,13.05
195.24,749.70,14.47
195.51,747.40,14.10
195.79,748.25,16.56
196.07,749.80,15.33
196.34,748.70,16.10
196.62,752.45,14.47
196.89,750.70,13.50
197.17,750.95,14.94
197.45,749.90,12.77
197.72,755.55,16.19
198.00,750.80,15.28
198.27,751.90,15.85
198.55,751.45,14.06
198.82,749.55,16.76
199.10,749.30,16.42
199.38,752.75,15.95
199.65,751.15,13.36
199.93,754.40,14.59
200.20,753.40,12.71
200.48,752.05,13.19
200.75,751.70,15.52
201.03,751.30,15.78
201.31,750.45,16.76
201.58,753.00,13.95
201.86,754.15,14.16
202.13,754.65,14.60
202.41,752.15,13.34
202.68,750.75,13.07
202.96,753.95,14.62
203.24,754.10,13.52
203.51,751.60,15.46
203.79,752.45,14.44
204.06,752.10,16.18
204.34,756.25,15.64
204.61,754.40,13.90
204.89,752.55,16.18
205.16,752.65,16.06
205.44,756.25,14.25
205.72,754.15,13.80
205.99,754.35,15.54
206.27,752.20,13.12
206.54,753.10,13.40
206.82,752.40,12.54
207.09,754.50,16.00
207.37,753.80,15.46
207.64,753.90,15.64
207.92,753.65,15.97
208.19,758.00,14.58
208.47,757.20,15.06
208.74,755.00,13.15
209.02,751.20,13.00
209.29,750.60,15.44
209.57,751.25,14.58
209.85,751.65,15.00
210.12,750.55,15.87
210.40,753.20,15.32
210.67,752.90,14.96
210.95,752.70,14.98
211.22,755.85,13.88
211.50,754.45,12.66
211.77,752.05,14.43
212.05,755.20,13.48
212.32,755.55,14.34
212.60,752.90,16.28
212.87,755.55,13.57
213.15,757.05,12.80
213.42,753.20,13.76
213.70,752.30,13.80
213.97,753.40,15.44
214.25,758.35,15.02
214.52,752.40,15.97
214.80,755.60,15.47
215.07,752.60,14.30
215.35,755.50,16.13
215.62,753.30,13.25
215.90,750.05,12.59
216.17,749.20,12.88
216.45,753.05,15.70
216.72,752.10,14.54
216.99,750.80,13.21
217.27,754.40,14.74
217.54,753.35,13.19
217.82,752.80,15.59
218.09,751.40,14.47
218.37,756.55,14.23
218.64,752.35,13.84
218.92,751.80,15.28
219.19,751.05,14.09
219.47,753.75,12.91
219.74,755.40,13.05
220.02,751.40,16.74
220.29,753.05,16.53
220.57,751.80,15.59
220.84,753.70,13.69
221.11,753.10,16.79
221.39,753.35,15.95
221.66,751.10,15.66
221.94,754.10,14.51
222.21,752.95,13.71
222.49,749.90,12.91
222.76,751.00,16.48
223.04,754.10,14.54
223.31,750.50,13.39
223.59,754.30,13.87
223.86,753.65,15.08
224.13,757.00,13.33
224.41,750.30,16.27
224.68,753.35,15.87
224.96,754.00,15.70
225.23,752.85,14.42
225.51,754.90,15.30
225.78,753.65,15.10
226.05,755.15,15.40
226.33,753.20,12.89
226.60,755.80,14.37
226.88,751.35,12.68
227.15,753.85,14.70
227.43,754.40,13.98
227.70,754.60,13.16
227.97,750.95,12.95
228.25,750.05,15.08
228.52,752.75,13.26
228.80,752.60,16.59
229.07,757.65,15.12
229.34,755.95,14.07
229.62,753.75,15.13
229.89,753.30,12.62
230.17,755.35,16.77
230.44,753.70,14.65
230.71,753.50,15.97
230.99,755.75,12.90
231.26,756.75,14.70
231.54,750.45,14.66
231.81,753.85,16.66
232.08,754.25,15.05
232.36,754.80,14.62
232.63,755.30,13.71
232.91,755.15,14.00
233.18,750.85,14.79
233.45,751.60,14.44
233.73,752.50,12.60
234.00,753.80,16.17
234.28,752.35,16.46
234.55,753.35,13.13
234.82,753.25,14.96
235.10,753.15,12.99
235.37,755.00,15.50
235.64,753.50,13.76
235.92,754.40,15.44
236.19,753.40,15.73
236.46,750.70,15.88
236.74,755.35,13.01
237.01,754.10,16.57
237.29,755.30,13.55
237.56,751.85,12.67
237.83,752.90,14.96
238.11,752.85,14.15
238.38,758.90,16.24
238.65,755.85,16.11
238.93,752.30,13.91
239.20,753.05,16.72
239.47,751.90,13.79
239.75,753.15,14.79
240.02,750.85,13.62
240.29,754.65,16.66
240.57,752.80,13.24
240.84,749.65,12.68
241.12,754.35,14.45
241.39,757.95,16.95
241.66,757.55,16.50
241.94,752.90,15.82
242.21,752.65,16.44
242.48,754.85,16.48
242.76,755.25,14.82
243.03,754.70,13.92
243.30,751.20,15.90
243.58,752.30,15.43
243.85,751.80,14.15
244.12,754.50,12.94
244.40,753.70,15.82
244.67,751.25,13.66
244.94,754.55,16.67
245.21,751.70,13.57
245.49,755.90,13.08
245.76,756.05,16.21
246.03,753.05,13.19
246.31,756.85,13.34
246.58,754.40,15.17
246.85,752.55,16.37
247.13,753.40,13.38
247.40,753.70,13.89
247.67,751.15,15.93
247.95,753.55,16.81
248.22,757.30,14.76
248.49,754.30,13.16
248.76,755.05,12.59
249.04,752.55,13.52
249.31,754.65,13.11
249.58,753.80,15.51
249.86,754.40,13.06
250.13,752.80,14.75
250.40,753.90,15.59
250.68,752.55,15.07
250.95,752.10,13.39
251.22,752.45,16.06
251.49,750.20,15.64
251.77,755.10,15.80
252.04,754.15,13.10
252.31,753.55,13.06
252.59,756.90,16.65
252.86,754.60,14.28
253.13,754.15,13.85
253.40,756.65,14.70
253.68,755.40,15.46
253.95,751.60,16.72
254.22,752.95,13.78
254.49,754.50,16.61
254.77,751.60,12.61
255.04,751.45,14.95
255.31,756.35,15.34
255.58,753.95,12.99
255.86,751.90,13.12
256.13,757.30,14.40
256.40,753.40,16.78
256.67,754.40,15.16
256.95,753.75,16.64
257.22,752.70,16.06
257.49,755.40,14.60
257.76,750.65,15.95
258.04,755.00,12.61
258.31,757.25,13.03
258.58,757.15,16.22
258.85,754.25,16.04
259.13,754.20,13.55
259.40,752.85,14.85
259.67,754.25,15.20
259.94,755.50,16.37
260.22,754.65,15.19
260.49,752.40,14.33
260.76,753.50,14.17
261.03,755.40,14.41
261.31,752.75,15.39
261.58,753.90,16.35
261.85,752.50,14.51
262.12,753.95,13.61
262.39,756.55,13.59
262.67,752.95,15.81
262.94,756.20,16.15
263.21,751.15,12.96
263.48,755.65,12.83
263.76,755.95,15.17
264.03,753.85,13.16
264.30,753.50,16.16
264.57,752.65,13.88
264.84,756.30,13.17
265.12,754.55,16.60
265.39,757.45,13.28
265.66,753.85,13.78
265.93,753.25,13.19
266.20,754.75,13.04
266.48,753.95,12.61
266.75,754.50,12.77
267.02,755.10,13.30
267.29,754.55,12.76
267.56,753.65,15.13
267.84,755.95,15.55
268.11,753.75,14.26
268.38,753.60,13.92
268.65,754.85,14.76
268.92,757.70,16.42
269.20,758.80,16.33
269.47,758.30,12.75
269.74,756.35,13.34
270.01,757.05,13.59
270.28,755.05,13.63
270.55,758.65,15.09
270.83,757.65,14.39
271.10,752.85,12.73
271.37,753.70,14.17
271.64,753.90,14.83
271.91,754.15,12.97
272.19,753.40,16.20
272.46,755.40,12.76
272.73,749.20,16.56
273.00,755.55,12.97
273.27,754.35,16.25
273.54,752.30,16.49
273.82,756.20,16.87
274.09,754.75,16.07
274.36,751.80,15.94
274.63,750.05,15.32
274.90,756.15,15.98
275.17,758.15,13.15
275.44,756.85,14.92
275.72,752.10,14.77
275.99,756.35,16.33
276.26,757.05,14.59
276.53,752.85,14.21
276.80,755.35,15.36
277.07,757.30,13.73
277.34,754.40,13.14
277.62,754.50,14.64
277.89,755.80,14.38
278.16,755.65,13.56
278.43,754.35,14.15
278.70,756.40,14.16
278.97,754.60,13.97
279.24,753.70,14.19
279.52,754.50,15.56
279.79,755.65,13.85
280.06,757.60,16.75
280.33,755.75,16.59
280.60,760.50,14.70
280.87,756.90,14.00
281.14,756.85,14.91
281.41,756.35,16.29
281.69,757.05,15.43
281.96,757.25,16.11
282.23,757.10,14.90
282.50,759.60,15.37
282.77,758.75,13.83
283.04,757.95,15.81
283.31,755.80,13.43
283.58,759.00,15.64
283.85,758.00,16.36
284.13,759.90,13.15
284.40,759.25,15.28
284.67,761.40,13.00
284.94,756.55,15.75
285.21,757.05,12.92
285.48,758.35,16.70
285.75,758.25,13.16
286.02,757.55,16.79
286.29,759.25,16.11
286.56,757.45,15.18
286.84,756.95,16.01
287.11,757.45,16.07
287.38,758.95,16.75
287.65,758.20,13.68
287.92,759.10,15.18
288.19,761.10,13.00
288.46,760.90,15.31
288.73,761.70,13.34
289.00,759.90,15.07
289.27,763.95,15.14
289.54,770.85,14.73
289.81,775.60,15.03
290.08,774.80,16.10
290.36,768.90,16.20
290.63,762.85,14.78
290.90,763.65,15.26
291.17,762.55,16.72
291.44,759.20,13.09
291.71,763.40,13.11
291.98,762.10,12.97
292.25,764.20,15.52
292.52,767.90,14.49
292.79,773.35,16.13
293.06,770.45,15.64
293.33,769.10,14.12
293.60,767.10,16.62
293.87,769.20,16.04
294.14,767.15,13.83
294.41,772.45,14.29
294.68,770.50,14.05
294.96,772.20,13.36
295.23,776.70,13.36
295.50,774.70,16.87
295.77,775.55,14.65
296.04,779.00,14.43
296.31,795.05,16.14
296.58,814.15,15.51
296.85,846.25,17.58
297.12,907.45,17.41
297.39,924.85,16.11
297.66,884.35,15.28
297.93,833.65,17.69
298.20,806.80,16.20
298.47,792.55,17.12
298.74,790.30,13.33
299.01,791.05,16.65
299.28,790.15,15.67
299.55,787.40,13.33
299.82,790.65,15.46
300.09,786.95,15.87
300.36,795.60,12.89
300.63,800.45,14.94
300.90,804.20,16.66
301.17,813.65,14.33
301.44,824.85,15.17
301.71,848.20,15.29
301.98,896.30,15.02
302.25,969.15,18.65
302.52,1100.90,19.07
302.79,1198.00,16.17
303.06,1157.35,20.70
303.33,1005.25,18.77
303.60,898.45,14.95
303.87,840.75,17.06
304.14,821.60,13.52
304.41,815.75,17.57
304.68,813.95,16.02
304.95,814.80,15.96
305.22,810.00,13.36
305.49,811.50,17.06
305.76,811.50,13.09
306.03,811.60,14.06
306.30,818.35,13.66
306.57,816.00,16.55
306.84,813.70,13.88
307.11,814.60,17.15
307.38,817.00,16.01
307.65,818.65,13.18
307.92,820.85,13.05
308.19,822.50,13.28
308.46,827.25,15.87
308.73,826.65,16.77
309.00,838.35,14.26
309.27,839.40,17.11
309.54,841.30,13.44
309.81,841.50,16.90
310.08,852.00,17.60
310.35,857.95,16.92
310.62,872.40,16.71
310.89,882.10,17.46
311.16,897.50,13.77
311.43,922.00,14.73
311.70,954.20,14.59
311.97,1010.35,16.92
312.24,1117.15,19.01
312.50,1333.40,20.01
312.77,1684.40,23.79
313.04,2248.65,22.15
313.31,2802.45,29.40
313.58,2961.90,25.61
313.85,2910.10,26.05
314.12,2463.00,27.44
314.39,1774.30,25.24
314.66,1339.60,19.95
314.93,1131.85,15.44
315.20,1044.50,17.76
315.47,1001.00,14.51
315.74,974.55,18.52
316.01,956.10,17.50
316.28,941.40,14.74
316.55,932.25,14.27
316.82,922.75,14.65
317.08,921.35,18.51
317.35,915.35,15.93
317.62,917.15,17.52
317.89,919.90,16.83
318.16,916.30,16.49
318.43,909.85,14.37
318.70,914.10,18.27
318.97,913.95,15.16
319.24,917.25,16.52
319.51,914.80,17.09
319.78,918.45,16.88
320.05,917.70,18.28
320.32,922.05,14.48
320.58,926.25,16.26
320.85,919.20,15.69
321.12,923.40,16.07
321.39,928.85,14.38
321.66,926.75,14.44
321.93,932.15,15.18
322.20,930.20,15.30
322.47,932.15,15.91
322.74,935.70,16.84
323.01,930.85,16.91
323.27,936.25,15.87
323.54,940.80,15.89
323.81,942.90,14.97
324.08,942.55,16.78
324.35,944.55,15.47
324.62,946.90,14.11
324.89,949.00,16.00
325.16,952.10,16.30
325.43,956.70,15.11
325.69,959.55,16.85
325.96,963.55,16.85
326.23,965.65,17.54
326.50,968.30,17.29
326.77,969.45,17.33
327.04,966.30,15.63
327.31,973.70,18.03
327.58,969.85,16.82
327.84,974.60,16.27
328.11,976.70,17.25
328.38,979.30,15.95
328.65,981.10,16.72
328.92,984.00,17.87
329.19,984.20,18.62
329.46,987.30,18.82
329.73,984.50,16.71
329.99,985.95,16.80
330.26,991.25,18.25
330.53,993.25,15.83
330.80,992.55,18.45
331.07,994.70,16.74
331.34,1000.30,14.88
331.61,1007.60,14.71
331.87,1010.35,18.63
332.14,1010.25,14.64
332.41,1016.90,15.83
332.68,1017.60,16.11
332.95,1024.90,15.34
333.22,1044.70,16.20
333.49,1064.30,18.57
333.75,1106.95,15.07
334.02,1189.80,20.04
334.29,1317.55,21.20
334.56,1491.60,19.53
334.83,1703.10,19.39
335.10,2038.75,24.29
335.36,2200.65,21.67
335.63,1748.40,21.02
335.90,1316.75,21.78
336.17,1131.75,20.47
336.44,1076.75,18.83
336.71,1050.10,16.23
336.97,1044.75,18.13
337.24,1035.80,18.15
337.51,1041.60,16.56
337.78,1042.20,17.87
338.05,1038.20,14.60
338.31,1045.95,15.67
338.58,1041.60,17.27
338.85,1042.30,15.41
339.12,1045.50,15.45
339.39,1055.00,18.98
339.66,1058.10,19.80
339.92,1065.05,17.61
340.19,1072.65,19.14
340.46,1064.30,19.86
340.73,1058.90,15.41
341.00,1054.50,16.97
341.26,1056.75,16.70
341.53,1057.00,15.08
341.80,1053.55,18.55
342.07,1055.80,16.90
342.34,1061.45,17.13
342.60,1058.60,15.46
342.87,1054.05,15.58
343.14,1055.80,19.35
343.41,1056.60,14.90
343.68,1062.10,15.91
343.94,1061.40,16.21
344.21,1063.50,17.25
344.48,1065.45,17.77
344.75,1063.75,17.27
345.02,1060.65,15.13
345.28,1056.15,15.92
345.55,1067.55,19.12
345.82,1057.00,17.97
346.09,1056.40,18.02
346.35,1048.70,18.07
346.62,1058.25,18.63
346.89,1048.20,14.91
347.16,1053.20,16.54
347.43,1044.90,17.37
347.69,1049.35,16.36
347.96,1050.45,18.98
348.23,1043.25,17.06
348.50,1043.85,18.54
348.76,1041.75,18.95
349.03,1036.10,17.12
349.30,1039.45,19.22
349.57,1028.10,17.48
349.83,1025.50,18.80
350.10,1018.40,16.15
350.37,1015.10,16.92
350.64,1013.15,17.07
350.90,1012.00,14.90
351.17,1006.55,16.35
351.44,1008.30,18.99
351.71,998.85,17.46
351.97,994.95,15.15
352.24,995.45,15.96
352.51,992.60,15.20
352.78,994.65,14.38
353.04,993.55,18.91
353.31,991.25,16.48
353.58,991.50,15.78
353.85,986.75,17.20
354.11,985.80,14.23
354.38,995.05,15.66
354.65,994.55,17.79
354.92,1006.65,17.54
355.18,1008.70,19.32
355.45,1010.00,17.50
355.72,988.50,16.61
355.99,987.05,18.02
356.25,980.80,18.67
356.52,987.45,17.82
356.79,980.05,18.97
357.06,988.40,18.13
357.32,987.15,18.55
357.59,980.00,14.72
357.86,979.35,17.81
358.12,977.85,16.34
358.39,980.60,16.92
358.66,985.95,17.47
358.93,986.85,19.06
359.19,989.20,19.16
359.46,987.75,15.65
359.73,993.55,17.94
359.99,998.00,18.06
360.26,1009.45,16.11
360.53,1013.35,15.01
360.80,1023.75,14.66
361.06,1026.05,18.43
361.33,1034.65,17.03
361.60,1053.40,19.74
361.86,1062.70,17.12
362.13,1090.05,20.02
362.40,1129.30,17.33
362.66,1168.90,19.69
362.93,1214.55,16.13
363.20,1300.60,19.35
363.47,1382.00,21.36
363.73,1515.75,23.07
364.00,1736.25,23.95
364.27,2092.10,20.55
364.53,2792.65,26.38
364.80,4073.25,28.46
365.07,6366.25,36.10
365.33,10106.75,53.96
365.60,14969.10,66.15
365.87,16383.00,70.34
366.13,16383.00,72.12
366.40,16383.00,69.67
366.67,16383.00,70.86
366.93,14933.50,53.70
367.20,11713.20,50.72
367.47,8748.10,49.51
367.73,5146.25,40.83
368.00,3027.45,24.27
368.27,2129.20,24.18
368.53,1764.60,23.17
368.80,1531.25,17.66
369.07,1433.40,19.34
369.33,1361.15,21.76
369.60,1295.75,19.98
369.87,1251.85,17.22
370.13,1213.25,20.36
370.40,1196.30,17.46
370.67,1186.90,20.16
370.93,1160.80,16.95
371.20,1149.30,18.44
371.47,1129.75,17.26
371.73,1116.40,16.51
372.00,1092.20,19.56
372.27,1064.55,15.69
372.53,1038.20,14.98
372.80,1022.30,16.18
373.07,1003.35,17.94
373.33,993.95,18.31
373.60,987.40,19.21
373.87,982.80,15.66
374.13,967.35,16.09
374.40,964.00,14.72
374.66,955.10,16.82
374.93,955.35,18.91
375.20,950.40,17.40
375.46,953.85,16.91
375.73,945.10,15.84
376.00,948.35,18.44
376.26,947.35,16.37
376.53,940.55,14.54
376.79,927.10,15.57
377.06,923.05,14.09
377.33,919.55,14.72
377.59,911.75,13.77
377.86,918.45,15.93
378.13,914.50,16.77
378.39,914.45,15.36
378.66,908.25,15.68
378.92,913.35,18.33
379.19,919.45,17.38
379.46,933.15,16.47
379.72,949.95,15.35
379.99,974.75,18.59
380.26,956.45,15.15
380.52,930.65,15.40
380.79,917.35,18.13
381.05,912.80,16.25
381.32,910.00,17.25
381.59,902.35,16.46
381.85,901.40,16.75
382.12,896.65,15.01
382.38,904.40,14.79
382.65,909.90,15.23
382.92,918.55,14.48
383.18,925.05,18.03
383.45,908.45,15.03
383.71,897.40,16.27
383.98,894.35,17.35
384.25,886.70,17.24
384.51,887.75,15.60
384.78,885.75,15.77
385.04,888.85,18.27
385.31,886.20,16.72
385.57,888.00,17.40
385.84,884.40,17.79
386.11,888.80,17.28
386.37,902.65,14.51
386.64,909.55,16.38
386.90,917.70,14.22
387.17,925.40,16.95
387.44,912.70,18.31
387.70,906.40,16.11
387.97,902.75,15.70
388.23,903.05,13.79
388.50,900.80,18.21
388.76,903.15,14.12
389.03,910.50,13.87
389.30,908.90,14.85
389.56,916.65,14.03
389.83,920.70,15.95
390.09,937.00,16.38
390.36,957.75,15.55
390.62,987.10,14.46
390.89,1033.10,15.08
391.15,1082.80,16.85
391.42,1142.60,15.54
391.69,1192.30,19.35
391.95,1165.45,16.48
392.22,1080.10,16.40
392.48,1010.35,16.36
392.75,956.25,16.05
393.01,930.95,13.83
393.28,915.75,14.25
393.54,907.35,17.81
393.81,899.55,13.60
394.07,898.55,16.03
394.34,898.05,15.93
394.61,895.95,15.17
394.87,895.50,15.63
395.14,895.95,17.31
395.40,890.35,17.55
395.67,901.20,14.86
395.93,892.40,15.09
396.20,891.30,14.70
396.46,897.20,15.88
396.73,897.40,16.86
396.99,898.65,14.69
397.26,900.15,15.19
397.52,898.15,18.05
397.79,901.10,13.84
398.05,900.75,15.82
398.32,905.40,17.06
398.59,907.55,14.38
398.85,915.30,13.94
399.12,913.10,14.36
399.38,924.15,18.24
399.65,925.20,13.82
399.91,921.65,14.67
400.18,919.75,13.89
400.44,922.70,14.30
400.71,926.40,16.80
400.97,933.60,15.02
401.24,950.35,16.75
401.50,951.65,16.87
401.77,954.30,18.17
402.03,976.35,14.15
402.30,982.30,18.44
402.56,1007.10,17.47
402.83,1029.80,15.32
403.09,1081.60,18.87
403.36,1142.70,19.81
403.62,1229.65,17.17
403.89,1403.65,22.21
404.15,1723.65,21.46
404.42,2452.50,26.56
404.68,3930.70,37.05
404.95,6589.60,39.86
405.21,10167.65,56.25
405.48,15539.30,59.88
405.74,16383.00,70.83
406.01,16383.00,66.96
406.27,12266.45,51.58
406.54,5454.15,36.95
406.80,3474.45,28.81
407.07,2770.00,23.86
407.33,2325.95,21.57
407.60,2031.90,22.45
407.86,2052.25,20.24
408.12,2231.70,22.15
408.39,2671.30,28.66
408.65,3587.40,32.88
408.92,4210.00,35.84
409.18,3079.75,27.17
409.45,1788.95,24.74
409.71,1357.65,19.97
409.98,1214.80,16.36
410.24,1156.65,16.08
410.51,1121.85,18.78
410.77,1103.65,15.88
411.04,1097.30,17.60
411.30,1088.70,20.08
411.57,1088.15,14.89
411.83,1110.15,15.10
412.10,1108.45,20.26
412.36,1085.75,17.92
412.62,1064.00,15.37
412.89,1045.95,19.22
413.15,1048.30,19.15
413.42,1037.15,17.29
413.68,1047.70,17.81
413.95,1031.90,15.90
414.21,1021.50,14.69
414.48,1005.95,17.34
414.74,990.95,15.71
415.00,979.60,17.47
415.27,973.90,18.28
415.53,975.70,14.22
415.80,969.45,17.04
416.06,961.35,15.17
416.33,956.75,18.31
416.59,949.90,15.20
416.86,949.35,16.95
417.12,947.15,16.65
